County,Establishment Name,Establishment Address,Establishment City,Establishment State,Establishment Zip Code,Telephone Number,Application Approval Code,Date Licensed
187,QUALITY INN,1400 W LIBERTY ST.,FARMINGTON,MO,63640,573-664-1210,AP,09/28/2018
189,MOTEL 6,5781 CAMPUS CT,HAZELWOOD,MO,63042,(314)731-3881,AP,11/06/18
113,SUPER 8 MOTEL-TROY,28 TURNBULL TRAIL,TROY,MO,63379,(636) 528-6888,AP,09/27/2018
98,BUDGET INN,1822 W 7TH,JOPLIN,MO,64801,(417)623-6191,AP,09/19/2018
173,CANNON DAM CABINS,42526 CABIN RD,PERRY,MO,63462,(573)565-3432,AP,10/09/18
187,CROWN POINTE LODGE,4245 HUNT ROAD,FARMINGTON,MO,63640,573-701-9747,AP,09/28/2018
181,CURRENT RIVER INN,109 SMITH DRIVE,DONIPHAN,MO,63935,(573)996-2101,AP,09/28/2018
21,DAYS INN,4312 FREDERICK BLVD,ST JOSEPH,MO,64506,816-279-1671,AP,10/09/18
173,COUNTRY INN RESORT,22938 HWY EE,CENTER,MO,63436,573-267-3800,AP,09/18/2018
195,SUPER 8,208 W 40 HWY,SWEET SPRINGS,MO,65351,660-335-4888,AP,09/14/2018
183,HILTON GARDEN INN,2310 TECHNOLOGY DR,O'FALLON,MO,63366,636-625-2700,AP,09/17/2018
97,DAYS INN,1441 WEST CENTRAL,CARTHAGE,MO,64836,(417)358-3900,AP,10/30/2018
121,LA PLATA MOTEL,217 E CLARK,LA PLATA,MO,63549,(660)332-4531,AP,11/26/2018
189,HOLLYWOOD ST. LOUIS CASINO,777 CASINO CENTER DRIVE,MARYLAND HEIGHTS,MO,63043,(314)770-8100,AP,10/04/18
19,HILTON GARDEN INN,3300 VANDIVER DR,COLUMBIA,MO,65202,573-814-5464,AP,09/20/2018
213,MIDWEST INN,730 S HWY 165,BRANSON,MO,65616,417-239-1610,AP,11/16/2018
5,SUPER 8,1301 US HWY 136 WEST,ROCK PORT,MO,64482,660-744-5357,AP,09/26/2018
15,OSAGE BLUFF MOTEL LLC,17393 OSAGE BLUFF RD,WARSAW,MO,65355,660-438-2891,AP,09/13/2018
45,WELCOME INN KAHOKA,215-136 OUTER RD,KAHOKA,MO,63445,(660) 727-3326,AP,09/28/2018
95,QUALITY INN BLUE SPRINGS,701 NW SOUTH OUTER RD,BLUE SPRINGS,MO,64015,816-220-7400,AP,11/30/2018
99,HOLIDAY INN EXPRESS,1802 GAMEL CEMETERY ROAD,FESTUS,MO,63028,636-937-7100,AP,10/09/18
19,MIDWAY BUDGET INN,6401 WEST HWY 40,COLUMBIA,MO,65202,573-445-9565,AP,10/18/2018
115,TRAVEL - INN MOTEL,906 WEST HELM STREET,BROOKFIELD,MO,64628,660-268-4031,AP,10/01/18
5,ROCK PORT INN,1200 HWY 136 WEST,ROCK PORT,MO,64482,660-744-6282,AP,09/26/2018
189,HILTON GARDEN INN,16631 CHESTERFIELD GROVE RD,CHESTERFIELD,MO,63005,636-532-9400,AP,09/26/2018
161,BAYMONT INN & SUITES,1801 MARTIN SPRING DRIVE,ROLLA,MO,65401,573-364-7000,AP,10/11/18
195,NIGHT'S INN,1001 N. LOCUST ST,SWEET SPRINGS,MO,65351,660-886-0578,AP,09/28/2018
213,BRANSONS JELLY STONE PARK,11020 EAST STATE HWY 76,FORSYTH,MO,65653,417-546-3000,AP,10/04/18
189,COMFORT INN WESTPORT,12031 LACKLAND RD,ST LOUIS,MO,63146,(314)878-1400,AP,11/05/18
73,WHARF STREET INN,208-210 WHARF STREET,HERMANN,MO,65041,314-808-0796,AP,09/27/2018
9,FISHERMAN'S HAVEN,26277 OSPREY LANE,GOLDEN,MO,65658,417-271-3599,AP,09/27/2018
173,HARBOR INN,18552 HARBORTOWN RD,MONROE CITY,MO,63456,(573)735-4988,AP,10/04/18
510,HOTEL IGNACIO,3411 OLIVE BLVD,ST. LOUIS,MO,63103,314-977-4411,AP,09/21/2018
91,BAYMONT INN AND SUITES,1605 IMPERIAL DRIVE,WEST PLAINS,MO,65775,417-257-3067,AP,10/25/2018
209,BRADFORD INN,3590 STATE HWY 265,BRANSON,MO,65616,(417)338-5555,AP,11/13/2018
189,LA QUINTA INN #674,11805 LACKLAND,MARYLAND HEIGHTS,MO,63146,(314)991-3262,AP,11/06/18
21,RED LION HOTEL,102 SOUTH 3RD STREET,ST JOSEPH,MO,64501,816-279-8000,AP,10/18/2018
189,HILTON ST LOUIS FRONTENAC,1335 S LINDBERGH,FRONTENAC,MO,63131,(314) 993-1100,AP,09/19/2018
209,KIMBERLING OAKS RESORT,31 HOLIDAY DRIVE,KIMBERLING CITY,MO,65686,(417)739-4461,AP,09/26/2018
115,BEST WESTERN - BROOKFIELD,28622 HWY 11,BROOKFIELD,MO,64628,660-258-4900,AP,09/11/18
127,REAGAN'S QUEEN ANNE,313 N FIFTH,HANNIBAL,MO,63401,(573) 221-0774,AP,10/02/18
189,LA QUINTA INN & SUITES #4012,318 TAYLOR ROAD,HAZELWOOD,MO,63042,(314)731-4200,AP,09/28/2018
87,GARDEN INN AND TRUCK PLAZA,27478 HOLT 223,FOREST CITY,MO,64510,816-442-3213,AP,10/16/2018
77,QUALITY INN & SUITES,2745 N GLENSTONE,SPRINGFIELD,MO,65803,417-869-0001,AP,09/28/2018
189,HOMEWOOD SUITES HOTEL CHESTERFIELD,840 CHESTERFIELD PKWY WEST,CHESTERFIELD,MO,63017,636-530-0305,AP,10/25/2018
101,SUPER 8 MOTEL,439 EAST RUSSELL,WARRENSBURG,MO,64093,(660)429-2183,AP,09/26/2018
213,BRANSON MOTOR COURT,615 BUS HWY 65,BRANSON,MO,65616,(417)334-3420,AP,10/11/18
143,TRAVELODGE,301 AIRPORT ROAD,MARSTON,MO,63866,(573)643-0075,AP,09/26/2018
